feature_name,mean,std,min,max
fft_low_energy_mean,7.118052548392311,0.6487911856115004,0.019883831763115534,9.015997363941555
fft_low_energy_std,0.5507143128424523,0.37086755252484616,0.0,4.033793147385208
fft_low_energy_p90,7.6923620968827535,0.4753840778100982,0.011934017714701428,9.178384342750835
fft_mid_energy_mean,5.856432090010754,0.7708802605925673,9.9999999995e-11,8.031464840559101
fft_mid_energy_std,0.5061436820089329,0.3052219951225493,0.0,3.584277340130966
fft_mid_energy_p90,6.4078308021100865,0.6895856655772019,9.9999999995e-11,8.183333976510799
fft_high_energy_mean,5.144617920792887,0.8634968394793061,9.999999999500001e-11,7.802314599890337
fft_high_energy_std,0.4792706839518308,0.2833747751669844,0.0,3.2823577805650794
fft_high_energy_p90,5.682503009085308,0.8570150791889964,9.999999999500001e-11,8.039927279309708
fft_high_low_ratio_mean,0.7206903134513832,0.08720977648630128,5.029211707452616e-09,1.0904947262085436
fft_high_low_ratio_std,0.04334037120999201,0.02655798493229849,0.0,0.4285333022364158
fft_high_low_ratio_p90,0.7719501142547668,0.0922708498404391,5.029211707452616e-09,1.3187330621023996
glcm_contrast_mean,8.118943138652952,8.685344646762012,0.0,146.62608986737078
glcm_contrast_std,4.87572442006716,4.794360116404208,0.0,74.34381834273229
glcm_contrast_p90,14.389769555123113,14.285352448996145,0.0,216.76553002566817
glcm_homogeneity_mean,0.6349824735769054,0.14781509553755323,0.13684862875087622,1.0
glcm_homogeneity_std,0.10154835341653967,0.04531993475986585,0.0,0.33889503615227273
glcm_homogeneity_p90,0.76074260813956,0.15132469060793263,0.16029313198736359,1.0
glcm_energy_mean,0.2546835592020205,0.13062014658352158,0.04155089904379708,1.0
glcm_energy_std,0.10693130382216517,0.06799297382883791,0.0,0.40144447779239223
glcm_energy_p90,0.39388652358231674,0.20950788407476334,0.04578606462691294,1.0
glcm_correlation_mean,0.8343897649526384,0.11482918969941588,-0.15942456226649995,1.0
glcm_correlation_std,0.10002773221005525,0.06732884188481587,0.0,0.5117004505012029
glcm_correlation_p90,0.9338472280084117,0.07034886396848335,-0.010292986096615966,1.0
residual_std_mean,38.442045142751475,25.41157978243357,0.0,332.87040599110765
residual_std_std,14.91637042260086,9.993163501900517,0.0,135.31231890831515
residual_std_p90,57.15779659307804,34.95693272909094,0.0,425.67366001362814
residual_mean_mean,24.374824214375195,18.092154424211714,0.0,255.47923278808594
residual_mean_std,10.153074467860733,7.775988286556418,0.0,114.29428280879921
residual_mean_p90,37.32003044439957,26.216392640694917,0.0,368.34814453125
residual_kurtosis_mean,12.645872772550954,13.549463075994035,-1.001159657972903,381.0416537823781
residual_kurtosis_std,15.73816078151557,32.1187831797133,0.0,866.7314647897813
residual_kurtosis_p90,24.674464284047936,28.93953077240964,-0.9118492682594677,1427.3028223334902
residual_entropy_mean,2.6347002302988103,0.4163763857337707,0.0,3.845412294445455
residual_entropy_std,0.39089074844698846,0.16792272963432442,0.0,1.389016028700413
residual_entropy_p90,3.0749333000203523,0.33913623684266764,0.0,4.071804528066938
corr_y_cr_mean,0.0025571479023507797,0.3154263242949373,-0.9969243283661153,0.9950740055059542
corr_y_cr_std,0.3664144489574253,0.1429409230579245,0.0,0.9297594225891428
corr_y_cr_p90,0.4496788674669832,0.34665483073179604,-0.9927666949887978,0.9996245824925263
corr_y_cb_mean,-0.15336151427764436,0.33380757771514874,-0.9985704106988316,0.9661656249377473
corr_y_cb_std,0.3675294726165472,0.14815352975877477,0.0,0.927404898188197
corr_y_cb_p90,0.3076172147548792,0.4055283691656615,-0.9979587298667763,0.9993503116963833
corr_cr_cb_mean,-0.5234296969685497,0.3393817995132796,-0.9936857610105518,0.9784626822163656
corr_cr_cb_std,0.26487419319001887,0.15533745092556606,0.0,0.9397972023421503
corr_cr_cb_p90,-0.18420473227666156,0.473971734383651,-0.9915383102631352,1.0
stat_mean_mean,114.61867126367626,33.212117076149966,0.018035888671875,255.0
stat_mean_std,33.67902321976477,14.523827756572468,0.0,101.3048470748984
stat_mean_p90,156.6374407112305,38.95001801575046,0.057373046875,255.0
stat_std_mean,40.691926725745354,14.251677300637711,0.0,121.40356091219
stat_std_std,15.537473870441202,6.522949112088863,0.0,51.62678686476662
stat_std_p90,60.006779468281685,17.787706822662237,0.0,123.495967033643
stat_skew_mean,0.056300973074566205,0.8439083747427164,-10.891893540230463,12.01913537705534
stat_skew_std,1.142627968925088,0.8241037098874736,0.0,22.11308309389605
stat_skew_p90,1.2553039640627401,1.1327423719418157,-2.996258584862722,42.22337558295216
stat_kurtosis_mean,2.8273664957110287,8.667436968169154,-1.8657661363968052,521.8524666860229
stat_kurtosis_std,7.154340316847435,24.582438823119194,0.0,1150.5315936133125
stat_kurtosis_p90,7.657903176502592,20.33846667498792,-1.8375225763247538,1968.4960334152279
